Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Станция (EN)
UNIP;Подкаменная Тунгуска;Российская Федерация;61,59;89,97;64;Podkamennaya Tunguska
UNIQ;Ярцево;Российская Федерация;60,25;90,20;64;Yartsevo
UNIS;Северо-Енисейск;Российская Федерация;60,38;93,01;520;Severo-Eniseysk
UNIT;Тура;Российская Федерация;64,33;100,43;186;Tura
UNIW;Ванавара;Российская Федерация;60,35;102,31;272;Vanavara
UNKB;Богучаны;Российская Федерация;58,36;97,46;136;Boguchany
UNKI;Кодинск;Российская Федерация;58,48;99,08;302;Kodinsk
UNKK;Красноярск;Российская Федерация;56,00;92,88;195;Krasnoyarsk
UNKL;Красноярск (Емельяново);Российская Федерация;56,17;92,49;287;Krasnoyarsk (Emelyanovo)
UNKM;Красноярск (Черемшанка);Российская Федерация;56,17;92,54;253;Krasnoyarsk (Cheremshanka)
UNKN;Канск;Российская Федерация;56,20;95,63;207;Kansk
UNKO;Шарыпово;Российская Федерация;55,45;89,16;335;Sharypovo
UNKS;Ачинск;Российская Федерация;56,26;90,56;315;Achinsk
UNKV;Кежма;Российская Федерация;58,96;101,08;188;Kezhma
UNKY;Кызыл;Российская Федерация;51,66;94,40;652;Kyzyl
UNLA;Александровское;Российская Федерация;60,43;77,86;48;Alexandrovskoe
UNLI;Пионерский;Российская Федерация;54,95;20,21;28;Pionersky
UNLL;Колпашево;Российская Федерация;58,31;82,93;74;Kolpashevo
UNLM;Средний Васюган;Российская Федерация;59,21;78,23;69;Sredny Vasyugan
UNLP;Парабель;Российская Федерация;58,70;81,50;63;Parabel
UNLQ;Белый Яр;Российская Федерация;58,43;84,91;80;Bely Yar
UNLU;Пудино;Российская Федерация;57,53;79,36;97;Pudino
UNLW;Новый Васюган;Российская Федерация;58,55;76,46;81;Novy Vasugan
UNNE;Новосибирск (Ельцовка);Российская Федерация;55,09;83,00;199;Novosibirsk / Eltsovka
UNNT;Новосибирск (Толмачево);Российская Федерация;55,01;82,65;111;Novosibirsk (Tolmachevo)
UNOK;Калачинск;Российская Федерация;55,01;74,60;110;Kalachinsk
UNOO;Омск (Центральный);Российская Федерация;54,96;73,31;95;Omsk (Centralny)
UNOT;Тара;Российская Федерация;56,90;74,30;73;Tara
UNOW;Тевриз;Российская Федерация;57,50;72,26;66;Tevriz
UNSS;Стрежевой;Российская Федерация;60,70;77,66;50;Strezhevoy
UNTT;Томск (Богашево);Российская Федерация;56,38;85,21;182;Tomsk / Bogashevo
UNWW;Новокузнецк (Спиченково);Российская Федерация;53,81;86,87;312;Novokuznetsk / Spichenkovo
UODD;Диксон;Российская Федерация;73,51;80,38;47;Dixon
UOHH;Хатанга;Российская Федерация;71,97;102,49;29;Khatanga
UOII;Игарка;Российская Федерация;67,44;86,62;24;Igarka
UOIS;Снежногорск;Российская Федерация;68,63;87,63;31;Snezhnogorsk
UOOD;Дудинка;Российская Федерация;69,36;86,15;25;Dudinka
UOOO;Норильск (Алыкель);Российская Федерация;69,30;87,33;181;Norilsk, Alykel
UOOU;Усть-Тарея;Российская Федерация;73,21;89,71;;Ust-Tareya
UOOW;Норильск (Валек);Российская Федерация;69,38;88,36;;Norilsk (Valek)
UOTT;Туруханск;Российская Федерация;65,76;87,88;39;Turukhansk
URKA;Анапа (Витязево);Российская Федерация;45,00;37,34;53;Anapa (Vityazevo)
URKE;Ейск;Российская Федерация;46,67;38,21;20;Eysk
URKG;Геленджик;Российская Федерация;44,56;38,01;27;Gelendzhik
URKH;Ханская;Российская Федерация;44,68;40,03;182;Khanskaya
URKK;Краснодар (Пашковский);Российская Федерация;45,03;39,16;35;Krasnodar / Pashkovsky
URKM;Майкоп;Российская Федерация;44,65;40,09;206;Maykop
URKN;Новороссийск;Российская Федерация;44,71;37,86;3;Novorossiisk
URKR;Армавир;Российская Федерация;44,98;41,11;159;Armavir
URKS;Краснодар (Энем);Российская Федерация;44,93;38,93;19;Krasnodar (Enem)
URKT;Тихорецк;Российская Федерация;45,85;40,08;78;Tikhoretsk
URMG;Грозный;Российская Федерация;43,38;45,70;163;Grozny
URMK;Кисловодск;Российская Федерация;43,90;42,71;949;Kislovodsk
URML;Махачкала (Уйташ);Российская Федерация;42,81;47,65;4;Makhachkala / Uytash
URMM;Минеральные Воды;Российская Федерация;44,22;43,08;321;Mineralnye Vody
URMN;Нальчик;Российская Федерация;43,51;43,63;445;Nalchik
URMO;Владикавказ (Беслан);Российская Федерация;43,20;44,60;509;Vladikavkaz (Beslan)
URMP;Пятигорск;Российская Федерация;44,05;43,03;538;Pyatigorsk
URMS;Слепцовская;Российская Федерация;43,32;45,01;367;Sleptsovskaya
URMT;Ставрополь (Шпаковское);Российская Федерация;45,10;42,11;452;Stavropol (Shpakovskoe)
URRA;Белая Калитва;Российская Федерация;48,23;40,81;156;Belaya Kalitva
URRB;Ростов;Российская Федерация;57,20;39,41;101;Rostov
URRE;Ремонтное;Российская Федерация;46,53;43,63;106;Remontnoe
URRF;Зимовники;Российская Федерация;47,15;42,48;72;Zimovniki
URRH;Шахты;Российская Федерация;47,70;40,26;118;Shakhty
URRK;Казанская;Российская Федерация;49,80;41,15;68;Kazanskaya
URRL;Обливская;Российская Федерация;48,55;42,50;63;Oblivskaya
URRM;Морозовск;Российская Федерация;48,35;41,86;90;Morozovsk
URRN;Миллерово;Российская Федерация;48,93;40,38;155;Millerovo
URRQ;Волгодонск;Российская Федерация;47,68;42,06;84;Volgodonsk
URRR;Ростов-на-Дону;Российская Федерация;47,25;39,81;85;Rostov-Na-Donu
URRS;Сальск;Российская Федерация;46,46;41,51;39;Salsk
URRT;Таганрог;Российская Федерация;47,19;38,85;35;Taganrog
URRW;Вешенская;Российская Федерация;49,63;41,70;;Veshenskaya
URRY;Заветное;Российская Федерация;47,13;43,88;;Zavetnoe
URSP;Туапсе;Российская Федерация;44,10;39,06;41;Tuapse
URSS;Сочи (Адлер);Российская Федерация;43,44;39,94;27;Sochi (Adler)
URWA;Астрахань (Нариманово);Российская Федерация;46,28;48,00;-20;Astrakhan / Narimanovo
URWI;Элиста;Российская Федерация;46,37;44,33;152;Elista
URWW;Волгоград (Гумрак);Российская Федерация;48,78;44,34;146;Volgograd
USCC;Челябинск (Баландино);Российская Федерация;55,30;61,50;234;Chelyabinsk / Balandino
USCI;Кизильское;Российская Федерация;52,71;58,88;323;Kizilskoe
USCM;Магнитогорск;Российская Федерация;53,39;58,75;436;Magnitogorsk
USCR;Карталы;Российская Федерация;53,05;60,66;301;Kartaly
USDA;Сабетта;Российская Федерация;71,23;72,05;8;Sabetta
USDD;Салехард;Российская Федерация;66,58;66,61;66;Salekhard
USDE;Сеяха;Российская Федерация;70,16;72,53;;Seyakha
USDG;Гыда;Российская Федерация;70,90;78,53;;Gyda
USDI;Антипаюта;Российская Федерация;69,10;76,86;;Antipajuta
USDK;Мыс Каменный;Российская Федерация;68,46;73,59;2;Mys Kamenny
USDO;Толька;Российская Федерация;63,98;82,05;28;Tolka
USDP;Красноселькуп;Российская Федерация;65,70;82,45;23;Krasnoselkup
USDR;Яр-Сале;Российская Федерация;66,86;70,85;10;Yar-Sale
USDS;Тарко-Сале;Российская Федерация;64,91;77,78;25;Tarko-Sale
USDT;Тазовский;Российская Федерация;67,46;78,70;28;Tazovsky
USDU;Уренгой;Российская Федерация;65,95;78,36;22;Urengoy
USHB;Березово;Российская Федерация;63,91;65,03;30;Berezovo
USHH;Ханты-Мансийск;Российская Федерация;61,02;69,08;42;Hanty-Mansijsk
USHI;Игрим;Российская Федерация;63,20;64,45;24;Igrim
USHK;Кондинское;Российская Федерация;59,65;67,43;40;Kondinskoe
USHN;Нягань;Российская Федерация;62,11;65,61;110;Nyagan
USHQ;Белоярский;Российская Федерация;63,68;66,68;25;Beloyarsky
USHS;Советский;Российская Федерация;61,32;63,60;106;Sovetsky
USHU;Урай;Российская Федерация;60,11;64,83;57;Uray
USII;Ижевск;Российская Федерация;56,83;53,45;163;Izhevsk
USKK;Киров (Победилово);Российская Федерация;58,50;49,34;148;Kirov / Pobedilovo
USKO;Котельнич;Российская Федерация;58,30;48,35;125;Kotelnich
USKS;Советск;Российская Федерация;55,08;21,93;37;Sovetsk
USMA;Ныда;Российская Федерация;66,63;72,91;10;Nyda
USML;Лонг-Юган;Российская Федерация;64,76;70,95;62;Long-Yugan
USMM;Надым;Российская Федерация;65,48;72,69;14;Nadym
USMQ;Ямбург;Российская Федерация;67,98;75,10;33;Yamburg
USMU;Новый Уренгой;Российская Федерация;66,06;76,51;64;Novy Urengoy
USNL;Ларьяк;Российская Федерация;61,10;80,25;55;Laryak
USNN;Нижневартовск;Российская Федерация;60,94;76,48;54;Nizhnevartovsk
USNR;Радужный;Российская Федерация;62,15;77,31;74;Raduzhny
USPB;Пермь (Бахаревка);Российская Федерация;57,95;56,18;172;Perm (Bakharevka)
USPC;Чернушка;Российская Федерация;56,50;56,13;148;Chernushka
USPI;Ижевск;Российская Федерация;56,83;53,45;159;Izhevsk
USPK;Кудымкар;Российская Федерация;59,03;54,63;185;Kudymkar
USPP;Пермь (Большое Савино);Российская Федерация;57,91;56,02;123;Perm (Bolshoe Savino)
USPT;Березники;Российская Федерация;59,56;56,85;207;Berezniki
USRK;Когалым;Российская Федерация;62,18;74,53;67;Kogalym
USRN;Нефтеюганск;Российская Федерация;61,10;72,65;35;Nefteyugansk
USRO;Ноябрьск;Российская Федерация;63,18;75,26;135;Noyabrsk
USRR;Сургут;Российская Федерация;61,34;73,40;60;Surgut
USSA;Артемовский;Российская Федерация;57,36;61,91;154;Artemovsky
USSE;Североуральск;Российская Федерация;60,26;60,16;194;Severouralsk
USSI;Ивдель;Российская Федерация;60,71;60,40;;Ivdel
USSK;Екатеринбург (Уктус);Российская Федерация;56,70;60,79;226;Ekaterinburg (Uktus)
USSS;Екатеринбург (Кольцово);Российская Федерация;56,74;60,80;232;Ekaterinburg / Koltsovo
USST;Туринск;Российская Федерация;58,05;63,68;103;Turinsk
USTA;Уват;Российская Федерация;59,16;68,91;41;Uvat
USTM;Ишим;Российская Федерация;56,13;69,40;;Ishim
USTN;Нягань;Российская Федерация;62,10;65,60;110;Nyagan
USTO;Тобольск;Российская Федерация;58,13;68,23;51;Tobolsk
USTR;Тюмень (Рощино);Российская Федерация;57,16;65,31;115;Tyumen (Roschino)
USUK;Куртамыш;Российская Федерация;54,91;64,48;158;Kurtamysh
USUU;Курган;Российская Федерация;55,47;65,41;72;Kurgan
UTAA;Ашхабад;Туркмения;37,99;58,36;210;Ashgabad
UTAE;Керки;Туркмения;37,83;65,20;240;Kerki
UTAG;Бекдаш;Туркмения;41,53;52,58;5;Bekdash
UTAK;Туркменбаши;Туркмения;40,06;53,00;85;Turkmenbashi
UTAL;Челекен;Туркмения;39,45;53,11;-17;Cheleken
UTAM;Мары;Туркмения;37,61;61,89;223;Mary
UTAN;Небит-Даг;Туркмения;39,66;54,20;-12;Nebit-Dag
UTAT;Дашогуз;Туркмения;41,76;59,82;82;Tashauz
UTAV;Чарджоу;Туркмения;39,08;63,61;192;Chardzhou
UTDD;Душанбе;Таджикистан;38,54;68,82;784;Dushanbe
UTDK;Куляб;Таджикистан;37,98;69,80;698;Kulyab
UTDL;Худжанд;Таджикистан;40,21;69,69;441;Khudzhant
UTDP;;Туркмения;37,61;67,51;379;Kakaydy
UTDT;Курган-Тюбе;Таджикистан;37,86;68,86;448;Kurgan-Tyube
UTED;Джизак;Узбекистан;40,11;67,83;345;Dzhizak
UTFA;;Туркмения;40,72;72,29;475;Andizhan
UTFF;;Туркмения;40,35;71,74;625;Fergana
UTFN;;Туркмения;40,98;71,55;519;Namangan
UTKA;Андижан;Узбекистан;40,71;72,28;475;Andijan
UTKF;Фергана;Узбекистан;40,35;71,73;625;Fergana
UTKN;Наманган;Узбекистан;40,98;71,55;519;Namangan
UTNM;Муйнак;Узбекистан;43,75;58,73;55;Muinak
UTNN;Нукус;Узбекистан;42,48;59,62;75;Nukus
UTNU;Ургенч;Узбекистан;41,58;60,64;97;Urgench
UTSA;;Туркмения;40,11;65,17;347;Navoi
UTSB;Бухара;Узбекистан;39,77;64,48;228;Bukhara
UTSH;;Туркмения;39,02;66,77;605;Shakhrisabz
UTSK;Карши;Узбекистан;38,80;65,77;374;Karshi
UTSL;;Туркмения;38,83;65,92;398;Karshi/Khanabad
UTSM;Тамды;Узбекистан;41,73;64,61;237;Tamdy
UTSS;Самарканд;Узбекистан;39,70;66,98;678;Samarkand
UTST;Термез;Узбекистан;37,28;67,30;313;Termez
UTTP;Ташкент (Восточный);Узбекистан;41,31;69,39;480;Tashkent (Vostochny)
UTTT;Ташкент;Узбекистан;41,25;69,28;431;Tashkent
UUBA;Кострома;Российская Федерация;57,79;41,02;135;Kostroma
UUBB;Москва (Быково);Российская Федерация;55,61;38,06;130;Moscow / Bykovo
UUBC;Калуга (Грабцево);Российская Федерация;54,55;36,36;200;Kaluga / Grabtsevo
UUBI;Иваново (Южный);Российская Федерация;56,94;40,93;125;Ivanovo /Yuzhny
UUBK;Рыбинск (Староселье);Российская Федерация;58,10;38,93;133;Rybinsk (Staroselye)
UUBL;Владимир (Семязино);Российская Федерация;56,11;40,30;169;Vladimir (Semyazino)
UUBN;Тверь (Змеево);Российская Федерация;56,90;35,95;144;Tver (Zmeevo)
UUBP;Брянск;Российская Федерация;53,21;34,17;202;Brjansk
UUBQ;Шарья;Российская Федерация;58,36;45,53;125;Sharyay
UUBR;Рязань;Российская Федерация;54,63;39,70;158;Ryazan
UUBS;Смоленск;Российская Федерация;54,75;32,06;239;Smolensk
UUBT;Тула;Российская Федерация;54,23;37,61;203;Tula
UUBW;Раменское (Жуковский);Российская Федерация;55,55;38,15;123;Ramenskoe (Zhukovsky)
UUBX;Ярославль;Российская Федерация;57,63;39,75;129;Yaroslavl
UUDD;Москва (Домодедово);Российская Федерация;55,40;37,90;180;Moscow / Domodedovo
UUDL;Ярославль (Туношна);Российская Федерация;57,56;40,15;92;Yaroslavl (Tunoshna)
UUEE;Москва (Шереметьево);Российская Федерация;55,97;37,41;192;Moscow / Sheremetyevo
UUEI;Кимры/Борки;Российская Федерация;56,79;37,33;127;Kimry/Borki
UUEM;Тверь (Мигалово);Российская Федерация;56,81;35,75;143;Tver (Migalovo)
UUEW;Москва (Шереметьево);Российская Федерация;55,96;37,40;191;Moscow / Sheremetyevo
UUMO;Остафьево;Российская Федерация;55,50;37,50;171;Ostafyevo
UUMT;Луховицы (Третьяково);Российская Федерация;54,90;39,01;157;Lukhovitsy (Tretyakovo)
UUMU;Чкаловский;Российская Федерация;55,88;38,06;153;Chkalovskiy
UUOB;Белгород;Российская Федерация;50,64;36,59;224;Belgorod
UUOD;Воронeж/Придача;Российская Федерация;51,65;39,25;109;Voronezh/Pridacha
UUOK;Курск (Восточный);Российская Федерация;51,75;36,29;209;Kursk / Vostochny
UUOL;Липецк;Российская Федерация;52,70;39,54;178;Lipetsk
UUOO;Воронеж (Чертовитское);Российская Федерация;51,81;39,22;156;Voronezh / Chertovitskoe
UUOR;Орел (Южный);Российская Федерация;52,93;36,00;199;Orel (Yuzhny)
UUOS;Старый Оскол;Российская Федерация;51,32;37,76;219;Stary Oskol
UUOT;Тамбов;Российская Федерация;52,80;41,48;125;Tambov
UUUS;Москва (Тушино);Российская Федерация;55,81;37,41;128;Moscow (Tushino)
UUWS;Москва (Солнцево);Российская Федерация;55,63;37,38;181;Moscow (Solntsevo)
UUWW;Москва (Внуково);Российская Федерация;55,59;37,27;208;Moscow / Vnukovo
UUYD;Железнодорожный;Российская Федерация;54,36;21,30;50;Zheleznodorozhny
UUYH;Ухта;Российская Федерация;63,56;53,80;146;Uhta
UUYI;Инта;Российская Федерация;66,05;60,11;56;Inta
UUYK;Вуктыл;Российская Федерация;63,83;57,25;109;Vuktyl
UUYM;Емва;Российская Федерация;62,60;59,93;;Emva
UUYO;Обьячево;Российская Федерация;60,36;49,65;152;Obyachevo
UUYP;Печора;Российская Федерация;65,12;57,13;60;Pechhora
UUYR;Троицко-Печорск;Российская Федерация;62,73;56,20;139;Troicko-Pechorsk
UUYS;Усинск;Российская Федерация;66,00;57,36;79;Usinsk
UUYT;Усть-Кулом;Российская Федерация;61,68;53,68;144;Ust- Kulom
UUYV;Ижма;Российская Федерация;65,01;53,98;;Izhma
UUYW;Воркута;Российская Федерация;67,48;63,99;184;Vorkuta
UUYX;Усть-Цильма;Российская Федерация;65,45;52,30;78;Ust-Tsilma
UUYY;Сыктывкар;Российская Федерация;61,64;50,84;104;Syktyvkar
UWGB;Болдино;Российская Федерация;55,01;45,31;192;Bolshoe Boldino
UWGG;Нижний Новгород (Стригино);Российская Федерация;56,22;43,78;78;Nizhny Novgorod / Strigino
UWKB;Бугульма;Российская Федерация;54,64;52,80;302;Bugulma
UWKD;Казань;Российская Федерация;55,60;49,28;126;Kazan
UWKE;Нижнекамск (Бегишево);Российская Федерация;55,56;52,09;195;Nizhnekamsk (Begishevo)
UWKI;Чистополь;Российская Федерация;55,33;50,65;179;Chistopol
UWKJ;Йошкар-Ола;Российская Федерация;56,70;47,89;106;Yoshkar-Ola
UWKK;Казань-2;Российская Федерация;55,75;49,23;69;Kazan-2
UWKL;Елабуга;Российская Федерация;55,76;52,06;91;Elabuga
UWKN;Набережные Челны;Российская Федерация;55,70;52,33;69;Naberezhnye Chelny
UWKS;Чебоксары;Российская Федерация;56,09;47,34;170;Cheboksary
UWLL;Ульяновск (Баратаевка);Российская Федерация;54,26;48,22;140;Ulyanovsk / Barataevka
UWLW;Ульяновск (Восточный);Российская Федерация;54,40;48,80;77;Ulyanovsk (Vostochny)
UWOO;Оренбург (Центральный);Российская Федерация;51,79;55,45;117;Orenburg / Centralny
UWOR;Орск;Российская Федерация;51,07;58,59;277;Orsk
UWPP;Пенза (Терновка);Российская Федерация;53,11;45,02;181;Penza / Ternovka
UWPS;Саранск;Российская Федерация;54,12;45,21;216;Saransk
UWSB;Балаково;Российская Федерация;51,85;47,75;29;Balakovo
UWSK;Красный Кут;Российская Федерация;50,96;46,95;54;Krasny Kut
UWSO;Озинки;Российская Федерация;51,20;49,73;104;Ozinki
UWSP;Пугачев;Российская Федерация;52,03;48,83;38;Pugachev
UWSS;Саратов (Центральный);Российская Федерация;51,56;46,04;152;Saratov / Tsentralny
UWUA;Сибай;Российская Федерация;52,66;58,66;408;Sibay
UWUB;Белорецк;Российская Федерация;53,93;58,33;56;Beloretsk
UWUF;Нефтекамск;Российская Федерация;56,10;54,35;140;Neftekamsk
UWUK;Октябрьский;Российская Федерация;54,43;53,38;115;Oktyabrsky
UWUL;Янаул;Российская Федерация;56,26;54,90;102;Yanaul
UWUM;Уфа (Максимовка);Российская Федерация;54,83;56,16;99;Ufa / Maximovka
UWUS;Стерлитамак;Российская Федерация;53,51;55,78;186;Sterlitamak
UWUU;Уфа;Российская Федерация;54,55;55,87;136;Ufa
UWWB;Бугуруслан;Российская Федерация;53,71;52,36;222;Buguruslan
UWWG;Самара/Безымянка;Российская Федерация;53,21;50,33;41;Samara/Bezymyanka
UWWS;Самара (Смышляевка);Российская Федерация;53,26;50,43;40;Samara / Smyshlyaevka
UWWT;Тольятти;Российская Федерация;53,53;49,30;73;Tolyatti
UWWW;Самара (Курумоч);Российская Федерация;53,50;50,15;145;Samara / Kurumoch
VAAH;Ахмадабад;Индия;23,07;72,62;57;Ahmadabad
VAAK;;Индия;20,69;77,05;304;Akola
VAAU;Аурангабад;Индия;19,86;75,39;582;Aurangabad Chikalthan Aerodrome
VABB;Мумбаи;Индия;19,09;72,86;10;Mumbai
VABI;Биласпур;Индия;21,98;82,11;274;Bilaspur
VABJ;Бхудж-Рудрамата;Индия;23,28;69,67;82;Bhuj-Rudramata
VABM;Белгаoн / Самбра;Индия;15,85;74,61;758;Belgaum / Sambra
VABO;;Индия;22,32;73,21;39;Vadodara
VABP;Бхопал / Баирагар;Индия;23,28;77,33;523;Bhopal / Bairagarh
VABV;Бхавнагар;Индия;21,75;72,19;13;Bhavnagar
VADN;;Индия;20,34;72,84;10;Daman
VADS;;Индия;24,26;72,20;148;Deesa
VAGN;;Индия;24,65;77,34;488;Guna
VAGO;Гоa/ Даболим;Индия;15,38;73,83;56;Goa / Dabolim Airport
VAID;Индаур;Индия;22,72;75,80;563;Indore
VAJB;Джабалпур;Индия;23,18;80,06;494;Jabalpur
VAJM;;Индия;22,46;70,01;21;Jamnagar
VAKD;Кхандва;Индия;21,83;76,36;318;Khandwa
VAKE;;Индия;23,11;70,10;28;Kandla
VAKJ;;Индия;24,81;79,91;221;Khajuraho
VAKP;Колхапур;Индия;16,66;74,28;608;Kolhapur
VAKS;Кешод;Индия;21,31;70,26;50;Keshod
VAND;Нандер;Индия;19,08;77,33;355;Nanded
VANP;Нагпур;Индия;21,09;79,04;314;Nagpur
VANR;;Индия;19,96;73,80;597;Nasik Road
VAPO;;Индия;18,58;73,91;591;Pune
VAPR;Порбандар;Индия;21,65;69,65;7;Porbandar
VARG;Ратнагири;Индия;17,00;73,32;93;Ratnagiri
VARK;Раджкот;Индия;22,30;70,77;134;Rajkot
VARP;Райпур;Индия;21,18;81,73;317;Raipur
VASL;Солапур;Индия;17,62;75,93;483;Sholapur
VASU;Сурат;Индия;21,11;72,74;5;Surat
VAUD;;Индия;24,61;73,89;513;Udaipur
VBBM;Банмо;Мьянма;24,26;97,20;113;Bhamo
VBBS;Патхейн;Мьянма;16,76;94,76;10;Pathein
VBCI;о. Коко;Мьянма;14,11;93,36;3;Coco Island
VBGG;Гангав;Мьянма;22,16;94,13;;Gangaw
VBHL;Хомалин;Мьянма;24,86;94,91;131;Homalin
VBKG;Чёнгтун;Мьянма;21,30;99,61;828;Kengtung
VBKM;Калемьо;Мьянма;23,20;94,06;;Kalemyo
VBKP;Каяукпю;Мьянма;19,41;93,55;5;Kyaukpyu
VBLK;Лойко;Мьянма;19,68;97,21;;Loikaw
VBLS;Лашо;Мьянма;22,93;97,75;749;Lashio
VBMK;Мьичина;Мьянма;25,36;97,40;147;Myitkyina
VBML;Меитхила;Мьянма;20,83;95,83;220;Meiktila
VBMM;Моламъяйн;Мьянма;16,50;97,61;22;Moulmein
VBPA;Пхаан;Мьянма;16,75;97,66;10;Hpa-An
VBPL;Пинлебу;Мьянма;24,08;95,36;;Pinlebu
VBPP;Папун;Мьянма;18,06;97,45;95;Papun
VBPR;Проме;Мьянма;18,80;95,21;60;Prome
VBPT;Путао;Мьянма;27,33;97,41;409;Putao
VBRA;Ситуэ;Мьянма;20,13;92,88;4;Sittwe
VBRM;Мандалай;Мьянма;21,98;96,10;76;Mandalay
VBRN;Мергуй;Мьянма;12,43;98,60;37;Mergui
VBRR;Мингаладон;Мьянма;16,90;96,18;29;Mingaladon
VBSY;Сандовей;Мьянма;18,46;94,35;11;Sandoway
VBTV;Давей;Мьянма;14,10;98,21;17;Dawei
VBYE;Е;Мьянма;15,25;97,86;3;Ye
VCBI;Катунаяке;Шри-Ланка;7,18;79,88;8;Katunayake
VCCA;Анурадхапура;Шри-Ланка;8,33;80,41;89;Anuradhapura
VCCB;Баттикалоа;Шри-Ланка;7,71;81,70;12;Batticaloa
VCCC;Ратмалана;Шри-Ланка;6,82;79,88;6;Ratmalana
VCCH;;Шри-Ланка;8,05;80,97;46;Minneriya/Hingurakgoda
VCCJ;;Шри-Ланка;9,79;80,06;10;Kankesanturai
VCCT;Тринкомали;Шри-Ланка;8,53;81,18;2;Trincomalee
VDBG;Баттамбанг;Камбоджа;13,09;103,22;17;Battambang
VDKC;Кампонгтям;Камбоджа;12,00;105,45;16;Kompong-Cham
VDKH;;Камбоджа;12,25;104,56;17;Kampong Chhnang
VDMK;;Камбоджа;12,46;107,19;699;Mondulkiri
VDPP;Пномпень;Камбоджа;11,54;104,86;12;Phnom-Penh / Pochentong
VDSR;Сим-Рип;Камбоджа;13,41;103,81;17;Siemreap
VDST;Стунг-Тренг;Камбоджа;13,53;106,01;62;Stung Treng
VEAN;Алонг;Индия;28,17;94,80;274;Along
VEAT;Агартала;Индия;23,87;91,23;14;Agartala
VEAZ;;Индия;23,74;92,80;304;Aizawl
VEBD;;Индия;26,68;88,32;126;Bagdogra
VEBG;Балургхат;Индия;25,21;88,78;25;Balurghat
VEBI;;Индия;25,70;91,97;886;Barapani
VEBK;;Индия;23,64;86,14;218;Bokaro
VEBS;Бхубанешвар;Индия;20,24;85,81;42;Bhubaneshwar
VECC;Калькутта Интл.;Индия;22,65;88,44;7;Calcutta / Kolkata Intl
VECK;;Индия;22,46;86,70;129;Chakulia
VECO;;Индия;26,33;89,46;42;Cooch Behar
VEDB;Дханбад;Индия;23,83;86,42;258;Dhanbad
VEGK;Горахпур;Индия;26,73;83,44;79;Gorakhpur
VEGT;Гувахати;Индия;26,10;91,58;49;Guwahati Intl
VEGY;Гая;Индия;24,74;84,94;115;Gaya
VEHK;;Индия;21,58;84,00;201;Hirakud
VEIM;Имфал-Тулихал;Индия;24,76;93,89;774;Imphal Tulihal
VEJH;Джахарсугуда;Индия;21,91;84,05;228;Jharsuguda
VEJS;Джамшедпур;Индия;22,81;86,16;146;Jamshedpur
VEJT;;Индия;26,73;94,17;87;Jorhat
VEKM;;Индия;24,13;91,81;45;Kamalpur
VEKR;Каиласхахар;Индия;24,30;92,00;24;Kailashahar
VEKU;;Индия;24,91;92,97;107;Kumbhigram / Silchar
VELP;;Индия;23,83;92,62;426;Aizawl / Lengpui
VELR;Норт-Лакхимпур / Лилабари;Индия;27,29;94,09;100;North Lakhimpur / Lilabari
VEMH;Малда;Индия;25,03;88,13;31;Malda
VEMN;Дибругарх;Индия;27,48;95,01;110;Dibrugarh
VEMR;;Индия;25,88;93,77;148;Dimapur
VEMZ;;Индия;26,11;85,31;53;Muzaffarpur
VENP;;Индия;20,87;82,51;322;Nawapara
VEPB;Порт-Блэйр;Индия;11,66;92,71;79;Port Blair
VEPG;Пасигхат;Индия;28,10;95,38;157;Pasighat
VEPH;Панагар;Индия;23,47;87,42;73;Panagarh
VEPN;Пхулбани;Индия;20,48;84,26;463;Phulbani
VEPT;Патна;Индия;25,59;85,09;51;Patna
VERC;Бирса-Мунда;Индия;23,31;85,32;654;Birsa Munda
VERK;Роуркелла;Индия;22,25;84,81;201;Rourkela
VERL;Раксаул;Индия;26,98;84,85;83;Raxaul
VERU;;Индия;26,14;89,90;40;Rupsi
VETZ;;Индия;26,71;92,78;73;Tezpur
VEUK;;Индия;20,09;83,18;207;Utkela
VEVZ;Вишакхапатнaм;Индия;17,72;83,22;4;Vishakhapatnam
VGBR;;Бангладеш;22,79;90,30;3;Barisal
VGCB;Кокс-Базар;Бангладеш;21,44;91,96;3;Cox's Bazar
VGCM;Комилла;Бангладеш;23,43;91,18;9;Comilla
VGEG;Читтагонг;Бангладеш;22,25;91,82;4;Chittagong / Patenga
VGIS;Ишурди;Бангладеш;24,13;89,05;14;Ishurdi
VGJR;Джессор;Бангладеш;23,18;89,16;6;Jessore
VGRJ;Раджшахи;Бангладеш;24,43;88,61;16;Rajshahi
VGSD;Саидпур;Бангладеш;25,76;88,90;38;Saidpur
VGSY;Силхет;Бангладеш;24,96;91,87;15;Sylhet
VGTJ;Дакка;Бангладеш;23,76;90,38;9;Dhaka
VGZR;Курмитола;Бангладеш;23,84;90,39;8;Kurmitola, Dia
VHCH;Чуньчау;Гонг-Конг, Китай;22,20;114,01;79;Cheung Chau
VHHH;Гонконг;Гонг-Конг, Китай;22,30;113,91;8;Hong Kong Inter-National Airport
VIAG;;Индия;27,15;77,96;167;Agra
VIAH;Алигарх;Индия;27,88;78,06;186;Aligarh
VIAL;Аллахабад / Бамхраули;Индия;25,44;81,73;98;Allahabad / Bamhrauli
VIAR;Амритсар;Индия;31,70;74,80;230;Amritsar
